log2_N, Init_T, FFT_T, RMS_T, Total_T
8 , 0.000318050384521 , 0.0234150886536 , 6.91413879395e-06 , 0.0237400531769
8 , 0.000294923782349 , 0.0224571228027 , 7.86781311035e-06 , 0.0227599143982
8 , 0.000326156616211 , 0.0223798751831 , 9.05990600586e-06 , 0.0227150917053
8 , 0.000324964523315 , 0.0226490497589 , 7.86781311035e-06 , 0.0229818820953
8 , 0.000321865081787 , 0.0224559307098 , 8.10623168945e-06 , 0.0227859020233
8 , 0.000323057174683 , 0.0224549770355 , 9.05990600586e-06 , 0.0227870941162
8 , 0.000330924987793 , 0.0224602222443 , 7.86781311035e-06 , 0.0227990150452
8 , 0.000332832336426 , 0.0229871273041 , 7.86781311035e-06 , 0.0233278274536
8 , 0.000328063964844 , 0.0224089622498 , 8.82148742676e-06 , 0.022745847702
8 , 0.000313997268677 , 0.0224668979645 , 9.05990600586e-06 , 0.0227899551392
9 , 0.000305891036987 , 0.141264915466 , 1.31130218506e-05 , 0.141583919525
9 , 0.000332832336426 , 0.141210079193 , 9.05990600586e-06 , 0.141551971436
9 , 0.000334978103638 , 0.140795946121 , 8.10623168945e-06 , 0.141139030457
9 , 0.000331163406372 , 0.141127824783 , 8.10623168945e-06 , 0.141467094421
9 , 0.000329971313477 , 0.140854120255 , 1.19209289551e-05 , 0.141196012497
9 , 0.000335931777954 , 0.140912055969 , 8.10623168945e-06 , 0.141256093979
9 , 0.000335931777954 , 0.140823125839 , 7.86781311035e-06 , 0.14116692543
9 , 0.000317096710205 , 0.14130282402 , 8.10623168945e-06 , 0.141628026962
9 , 0.000332117080688 , 0.141687870026 , 8.10623168945e-06 , 0.142028093338
9 , 0.000333070755005 , 0.141662120819 , 7.86781311035e-06 , 0.142003059387
10 , 0.000303983688354 , 0.60785317421 , 7.86781311035e-06 , 0.608165025711
10 , 0.000334024429321 , 0.607116937637 , 8.10623168945e-06 , 0.607459068298
10 , 0.000339984893799 , 0.608585119247 , 7.86781311035e-06 , 0.608932971954
10 , 0.000334978103638 , 0.606117010117 , 7.86781311035e-06 , 0.606459856033
10 , 0.000324010848999 , 0.609247207642 , 7.86781311035e-06 , 0.609579086304
10 , 0.000324010848999 , 0.606518983841 , 7.86781311035e-06 , 0.606850862503
10 , 0.000339984893799 , 0.608112096786 , 7.86781311035e-06 , 0.608459949493
10 , 0.000331878662109 , 0.608958959579 , 1.31130218506e-05 , 0.609303951263
10 , 0.000303983688354 , 0.607308149338 , 7.86781311035e-06 , 0.607620000839
10 , 0.000319004058838 , 0.606688976288 , 8.82148742676e-06 , 0.607016801834
11 , 0.000309944152832 , 2.58640003204 , 8.10623168945e-06 , 2.58671808243
11 , 0.000336885452271 , 2.58853292465 , 8.10623168945e-06 , 2.58887791634
11 , 0.000330924987793 , 2.57700610161 , 9.05990600586e-06 , 2.5773460865
11 , 0.000338792800903 , 2.57839918137 , 8.82148742676e-06 , 2.57874679565
11 , 0.000338077545166 , 2.57486987114 , 8.10623168945e-06 , 2.57521605492
11 , 0.000338077545166 , 2.57504081726 , 8.10623168945e-06 , 2.57538700104
11 , 0.000335931777954 , 2.57755208015 , 7.86781311035e-06 , 2.57789587975
11 , 0.00031590461731 , 2.59449505806 , 8.10623168945e-06 , 2.59481906891
11 , 0.000401973724365 , 2.6146941185 , 7.86781311035e-06 , 2.61510396004
11 , 0.000334978103638 , 2.58937597275 , 7.86781311035e-06 , 2.58971881866
